fra;strate2;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-08-22;0.123668339690705;1.5048797962363;0.269686379325514;6.20576668447938;0.52298297869202
FR;0;2020-08-23;0.117708419705611;1.51530965621021;0.293526059265891;6.25195606436386;0.558742498602585
FR;0;2020-08-24;0.114728459713064;1.61364833596427;0.317365739206268;6.48439294378253;0.588542098528056
FR;0;2020-08-25;0.107278559731696;1.64344793588974;0.306935879232353;6.47396308380862;0.581092198546688
FR;0;2020-08-26;0.114728459713064;1.70453711573695;0.311405819221174;6.54399214363348;0.584072158539236
FR;0;2020-08-27;0.113238479716791;1.81032569547238;0.327795599180183;6.62594104342852;0.607911838479613
FR;0;2020-08-28;0.122178359694432;1.90717439523016;0.335245499161551;6.69895006324593;0.616851718457254
FR;0;2020-08-29;0.125158319686979;1.94740385512954;0.354615239113107;6.62892100342107;0.621321658446075
FR;0;2020-08-30;0.137078159657168;2.00998301497303;0.359085179101928;6.77046910306706;0.663041098341734
FR;0;2020-08-31;0.138568139653441;2.0904419347718;0.373984979064664;7.04909536237021;0.707740498229941
FR;0;2020-09-01;0.15048797962363;2.26029965434699;0.391864739019946;7.17723364204974;0.715190398211309
FR;0;2020-09-02;0.15048797962363;2.32585877418303;0.406764538982682;7.19511340200502;0.731580178170318
FR;0;2020-09-03;0.160917839597545;2.41525757395944;0.427624258930512;7.39477072150568;0.768829678077157
FR;0;2020-09-04;0.163897799590092;2.58809525352717;0.46040381884853;7.5288689211703;0.803099217991449
FR;0;2020-09-05;0.166877759582639;2.76391289308745;0.485733478785181;7.60634788097652;0.822468957943005
FR;0;2020-09-06;0.169857719575186;2.87268143281542;0.484243498788907;7.78365550053308;0.855248517861024
FR;0;2020-09-07;0.180287579549101;3.12895799217448;0.534902818662208;8.31259839921019;0.944647317637437
FR;0;2020-09-08;0.189227459526742;3.26752613182792;0.579602218550415;8.43924669889344;0.977426877555455
FR;0;2020-09-09;0.207107219482025;3.39715439150372;0.606421858483339;8.58079479853943;1.01169641746975
FR;0;2020-09-10;0.210087179474572;3.55658225110499;0.607911838479613;8.81025171796556;1.02808619742876
FR;0;2020-09-11;0.22200701944476;3.78752915052739;0.669001018326829;9.14102727713829;1.11897497720144
FR;0;2020-09-12;0.23839679940377;3.95291693011376;0.692840698267205;9.25426575685508;1.13983469714927
FR;0;2020-09-13;0.241376759396317;4.0408257498939;0.739030078151686;9.47031285631475;1.18602407703375
FR;0;2020-09-14;0.265216439336694;4.13469448965913;0.734560138162865;10.0514050548614;1.25903309685116
FR;0;2020-09-15;0.274156319314335;4.395440989007;0.797139298006355;10.370260774064;1.34545193663502
FR;0;2020-09-16;0.295016039262165;4.74707626812756;0.855248517861024;10.7248760131771;1.38568139653441
FR;0;2020-09-17;0.324815639187636;4.96163338759096;0.908887797726872;10.9647627925771;1.41548099645988
FR;0;2020-09-18;0.357595199105654;5.12702116717732;0.92080763769706;11.2836185117797;1.46465033633691
FR;0;2020-09-19;0.375474959060937;5.18662036702826;0.961037097596446;10.4417798138851;1.48700003628101
FR;0;2020-09-20;0.396334679008767;5.38925764652147;1.02212627744366;10.5550182936019;1.57639883605743
FR;0;2020-09-21;0.41421443896405;5.56507528608175;1.08470543728715;11.0422417523834;1.69410725576304
FR;0;2020-09-22;0.442524058893247;5.62467448593269;1.11748499720517;11.0869411522716;1.75072649562143
FR;0;2020-09-23;0.449973958874615;5.63808430589915;1.13387477716418;11.2672287318207;1.81330565546492
FR;0;2020-09-24;0.461893798844804;5.71854322569792;1.17559421705984;11.5011555912356;1.87439483531214
FR;0;2020-09-25;0.464873758837351;5.75728270560104;1.19943389700022;11.7678620105686;1.94293391514072
FR;0;2020-09-26;0.475303618811266;5.7930422255116;1.20241385699276;11.6769732307959;1.94144393514445
FR;0;2020-09-27;0.512553118718105;5.68576366577991;1.18006415704866;11.8945103102518;1.98465335503638
FR;0;2020-09-28;0.52298297869202;5.80496206548179;1.22774351692941;12.6692999083141;2.1470611746302
FR;0;2020-09-29;0.534902818662208;5.91224062521349;1.2113537369704;12.7318790681576;2.13514133466001
FR;0;2020-09-30;0.551292598621217;6.04782880487438;1.24264331689215;12.9270664476694;2.17388081456312
FR;0;2020-10-01;0.549802618624944;6.1595773045949;1.25605313685861;13.1952628469986;2.19176057451841
FR;0;2020-10-02;0.5691723585765;6.26983582431914;1.25754311685488;13.5051786862236;2.23348001441407
FR;0;2020-10-03;0.573642298565321;6.4918428437639;1.30373249673937;13.4917688662571;2.26327961433954
FR;0;2020-10-04;0.573642298565321;6.62892100342107;1.30224251674309;13.8314843054075;2.32287881419048
FR;0;2020-10-05;0.582582178542962;6.69597010325338;1.29330263676545;14.6554432433467;2.44803713387746
FR;0;2020-10-06;0.59003207852433;6.9373468626497;1.31714231670583;14.9474793226164;2.43909725389982
FR;0;2020-10-07;0.651121258371546;7.13104426216526;1.32310223669092;15.2544152018487;2.42717741392963
FR;0;2020-10-08;0.663041098341734;7.478209601297;1.36035173659776;15.7982579004886;2.48379665378802
FR;0;2020-10-09;0.67794089830447;7.87156432031322;1.39313129651578;16.351040479106;2.5135962537135
FR;0;2020-10-10;0.718170358203856;8.13827073964619;1.41548099645988;16.4702388788079;2.52849605367623
FR;0;2020-10-11;0.742010038144233;8.43179679891208;1.45720043635554;16.9470324776155;2.60746499347873
FR;0;2020-10-12;0.785219458036166;9.0784481172948;1.55106917612078;18.3803932340306;2.81606219295703
FR;0;2020-10-13;0.838858737902014;9.60143109598682;1.6345080559121;19.0181046724357;2.89354115276325
FR;0;2020-10-14;0.828428877928099;10.2197727944403;1.77903611555063;19.6602860508296;3.03359927241297
FR;0;2020-10-15;0.92080763769706;10.6950764132516;1.86098501534568;20.4216658289254;3.11703815220429
FR;0;2020-10-16;0.999776577499559;11.4445363513772;1.9667735950811;21.5570305860859;3.20047703199561
FR;0;2020-10-17;1.06682567733187;12.0792678297898;2.06362229483888;22.0576638648338;3.30626561173103
FR;0;2020-10-18;1.12493489718654;12.7005894882358;2.19325055451468;22.9963512624861;3.45377363136211
FR;0;2020-10-19;1.21880363695177;13.5126285862049;2.31542891420911;25.0912631372468;3.76517945058329
FR;0;2020-10-20;1.31416235671328;14.5615745035815;2.46591689383274;26.3964856139824;3.8828878702889
FR;0;2020-10-21;1.43485073641144;15.6164803409432;2.51061629372095;27.8253764304087;3.97824659005041
FR;0;2020-10-22;1.51530965621021;16.8427338778763;2.66408423333713;29.330256226645;4.13469448965913
FR;0;2020-10-23;1.60172849599408;17.990018475007;2.82202211294212;31.0735328222851;4.34627164912997
FR;0;2020-10-24;1.67175755581893;18.7215986531773;2.93973053264773;31.6427051808616;4.45802014885049
FR;0;2020-10-25;1.85055515537176;19.4084794314594;3.05743895235335;32.9449476976047;4.65916744834742
FR;0;2020-10-26;1.99657319500657;20.5349043086422;3.18110729204405;35.8593485703158;5.01676264745308
FR;0;2020-10-27;2.13812129465256;21.5495806861045;3.27199607181674;37.5415359861086;5.16576064708043
FR;0;2020-10-28;2.29456919426128;22.4152590639394;3.46420349133603;39.1358145821213;5.35647808660345
FR;0;2020-10-29;2.45995697384765;23.1140596821917;3.62810129092612;40.6198346584098;5.5904049460184
FR;0;2020-10-30;2.60597501348246;23.7338913606415;3.75027965062055;42.2483827943368;5.80943200547061
FR;0;2020-10-31;2.8458617928825;24.3999124189758;3.80093897049385;42.7534860130735;5.86307128533646
FR;0;2020-11-01;3.00677963248004;25.0569935973325;3.9335471901622;44.2583658093098;6.15212740461353
FR;0;2020-11-02;3.2287866519248;25.9524715750929;4.0914850697672;47.6957496607129;6.58422160353286
FR;0;2020-11-03;3.41950409144782;26.372645934042;4.1928037095138;48.8430342578436;6.75258934311177
FR;0;2020-11-04;3.52529267118324;26.6035928334644;4.2658127293312;49.7608619355481;6.93436690265715
FR;0;2020-11-05;3.68621051078079;26.7019315132185;4.30604218923059;50.5580012335545;7.15935388209446
FR;0;2020-11-06;3.84861833037461;26.7838804130135;4.34925160912252;51.3730202915161;7.33815148164728
FR;0;2020-11-07;3.94248707013984;26.6184926334272;4.45355020886167;50.5699210735246;7.38434086153176
FR;0;2020-11-08;4.06466542983427;26.3786058540271;4.40885080897346;51.5160583711583;7.54078876114049
FR;0;2020-11-09;4.11681472970385;26.0299505348991;4.36266142908898;54.4945283837092;7.89391402025732
FR;0;2020-11-10;4.2151534094579;25.816883395432;4.33286182916351;54.3485103440744;7.86262444033558
FR;0;2020-11-11;4.30306222923804;24.5250707386628;4.14363436963677;53.0224281473909;7.75087594061506
FR;0;2020-11-12;4.34180170914115;24.2509144193485;4.07658526980446;54.9221526426397;8.0190723399443
FR;0;2020-11-13;4.39097104901818;23.8322300403956;4.02592594993116;54.640546423344;8.01758235994803
FR;0;2020-11-14;4.38799108902563;23.4344053813906;3.87841793030008;53.0298780473723;7.77769558054798
FR;0;2020-11-15;4.34180170914115;22.6819654832724;3.75176963061682;53.2310253468692;7.77769558054798
FR;0;2020-11-16;4.28369248928649;21.6628191658213;3.58638185103046;55.3616967415404;7.9907627200151
FR;0;2020-11-17;4.15704418960323;20.5796037085304;3.41950409144782;54.1250133446333;7.78514548052935
