fra;jour;clage_90;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;2020-08-13;69;0.124936239410147;1.67414560809597;0.362315094289426;8.9329411178255;1.17440065045538
FR;2020-08-14;69;0.112442615469132;1.79908184750611;0.387302342171455;8.80800487841535;1.14941340257335
FR;2020-08-15;69;0.124936239410147;1.7865882235651;0.412289590053485;8.5956132714181;1.09943890680929
FR;2020-08-16;69;0.137429863351162;1.83656271932916;0.39979596611247;8.68306863900521;1.09943890680929
FR;2020-08-17;69;0.137429863351162;1.83656271932916;0.39979596611247;8.82049850235637;1.12442615469132
FR;2020-08-18;69;0.112442615469132;1.94900533479829;0.39979596611247;8.9329411178255;1.12442615469132
FR;2020-08-19;69;0.0999489915281175;1.92401808691626;0.449770461876529;8.94543474176651;1.13691977863234
FR;2020-08-20;69;0.112442615469132;2.03646070238539;0.462264085817543;9.04538373329463;1.14941340257335
FR;2020-08-21;69;0.124936239410147;2.08643519814945;0.474757709758558;9.13283910088173;1.12442615469132
FR;2020-08-22;69;0.124936239410147;2.24885230938264;0.524732205522617;8.94543474176651;1.17440065045538
FR;2020-08-23;69;0.0999489915281175;2.28633318120569;0.574706701286675;9.0203964854126;1.26185601804248
FR;2020-08-24;69;0.0874553675871028;2.44875029243888;0.58720032522769;9.34523070787898;1.2743496419835
FR;2020-08-25;69;0.0749617436460881;2.2988268051467;0.61218757310972;9.19530722058681;1.34931138562959
FR;2020-08-26;69;0.124936239410147;2.37378854879279;0.624681197050734;9.25777534029188;1.37429863351162
FR;2020-08-27;69;0.0874553675871028;2.51121841214395;0.662162068873778;9.52014144305319;1.47424762503973
FR;2020-08-28;69;0.0749617436460881;2.61116740367207;0.662162068873778;9.55762231487624;1.4492603771577
FR;2020-08-29;69;0.0624681197050734;2.56119290790801;0.712136564637837;9.34523070787898;1.49923487292176
FR;2020-08-30;69;0.0874553675871028;2.66114189943613;0.687149316755808;9.54512869093522;1.57419661656785
FR;2020-08-31;69;0.0999489915281175;2.74859726702323;0.724630188578852;9.9574182809887;1.63666473627292
FR;2020-09-01;69;0.112442615469132;3.12340598525367;0.762111060401896;10.3447206231602;1.66165198415495
FR;2020-09-02;69;0.0624681197050734;3.18587410495875;0.887047299812043;10.4321759907473;1.83656271932916
FR;2020-09-03;69;0.0874553675871028;3.31081034436889;0.899540923753057;10.7695038371547;1.92401808691626
FR;2020-09-04;69;0.0999489915281175;3.61065731895324;1.16190702651437;11.019376315975;2.16139694179554
FR;2020-09-05;69;0.149923487292176;3.83554254989151;1.17440065045538;10.9943890680929;2.17389056573656
FR;2020-09-06;69;0.174910735174206;3.87302342171455;1.1868942743964;11.1817934272081;2.19887781361859
FR;2020-09-07;69;0.199897983056235;4.31030025965007;1.32432413774756;11.9813853594331;2.37378854879279
FR;2020-09-08;69;0.237378854879279;4.54767911452935;1.37429863351162;12.2812323340174;2.44875029243888
FR;2020-09-09;69;0.262366102761308;4.7600707215266;1.39928588139364;12.3686877016045;2.61116740367207
FR;2020-09-10;69;0.262366102761308;4.92248783275979;1.42427312927567;12.5435984367787;2.59867377973105
FR;2020-09-11;69;0.262366102761308;5.29729655099023;1.41177950533466;13.1557860098885;2.77358451490526
FR;2020-09-12;69;0.249872478820294;5.77205426074879;1.52422212080379;13.2932158732396;2.88602713037439
FR;2020-09-13;69;0.199897983056235;5.92197774804096;1.68663923203698;13.4056584887088;2.9734824979615
FR;2020-09-14;69;0.199897983056235;6.04691398745111;1.61167748839089;14.3176930364028;3.07343148948961
FR;2020-09-15;69;0.174910735174206;6.47169720144561;1.82406909538814;14.9423742334536;3.34829121619194
FR;2020-09-16;69;0.18740435911522;7.08388477455533;1.98648620662134;15.5170809347402;3.61065731895324
FR;2020-09-17;69;0.237378854879279;7.35874450125765;2.02396707844438;15.7419661656785;3.52320195136614
FR;2020-09-18;69;0.299846974584352;7.54614886037287;2.02396707844438;16.0792940120859;3.59816369501223
FR;2020-09-19;69;0.337327846407397;7.59612335613693;2.06144795026742;15.1547658404508;3.67312543865832
FR;2020-09-20;69;0.337327846407397;8.00841294619041;2.22386506150061;15.4546128150352;3.88551704565557
FR;2020-09-21;69;0.362315094289426;8.23329817712868;2.39877579667482;16.1167748839089;4.18536402023992
FR;2020-09-22;69;0.349821470348411;8.03340019407244;2.37378854879279;15.9793450205578;4.22284489206296
FR;2020-09-23;69;0.349821470348411;7.80851496313418;2.27383955726467;16.12926850785;4.26032576388601
FR;2020-09-24;69;0.299846974584352;8.14584280954158;2.39877579667482;16.7039752091366;4.34778113147311
FR;2020-09-25;69;0.274859726702323;8.30825992077477;2.57368653184903;17.2162137907182;4.68510897788051
FR;2020-09-26;69;0.249872478820294;8.22080455318766;2.58618015579004;16.99132855978;4.69760260182152
FR;2020-09-27;69;0.299846974584352;8.07088106589549;2.44875029243888;17.3536436540694;4.74757709758558
