reg;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
52;2020-04-08;1.86753790378603;12.2573614530181;2.70924512802761;23.1469486666437;4.89242324090424
52;2020-04-09;1.65711109772563;11.1526207212011;1.86753790378603;23.1995553681588;4.78720983787404
52;2020-04-10;1.57820104545298;10.9684972658982;1.60450439621053;23.4362855249767;4.73460313635894
52;2020-04-11;1.89384125454358;10.3109134969595;1.52559434393788;22.8050051067956;4.26114282272304
52;2020-04-12;1.86753790378603;9.89005988483867;1.20995413484728;22.6997917037654;4.28744617348059
52;2020-04-13;1.78862785151338;8.57489234696119;0.815403873484039;22.8839151590682;4.10332271817775
52;2020-04-14;1.81493120227093;8.20664543635549;0.78910052272649;23.2784654204314;4.0244126659051
52;2020-04-15;1.81493120227093;8.12773538408284;0.657583768938741;22.9628252113408;3.8665925613598
52;2020-04-16;1.97275130681622;7.39124156287145;0.604977067423642;22.4104548454323;3.62986240454185
52;2020-04-17;2.02535800833132;6.86517454772046;0.552370365908543;22.3578481439172;3.39313224772391
52;2020-04-18;1.89384125454358;6.41801758484212;0.578673716666092;21.5161409196756;3.15640209090596
52;2020-04-19;1.92014460530112;5.91825392044867;0.473460313635894;21.3057141136152;3.10379538939086
52;2020-04-20;1.68341444848318;6.15498407726662;0.526067015150993;21.8580844795238;3.13009874014841
52;2020-04-21;1.70971779924073;6.23389412953927;0.499763664393444;21.6213543227058;2.99858198636066
52;2020-04-22;1.76232450075583;5.65522041287318;0.447156962878344;21.5161409196756;2.73554847878516
52;2020-04-23;1.68341444848318;5.23436680075238;0.394550261363245;20.4640068893736;2.60403172499742
52;2020-04-24;1.55189769469543;4.89242324090424;0.368246910605695;19.9642432249802;2.49881832196722
52;2020-04-25;1.44668429166523;4.68199643484384;0.341943559848146;19.2540527545263;2.47251497120967
52;2020-04-26;1.42038094090768;4.57678303181364;0.315640209090596;19.043625948466;2.39360491893702
52;2020-04-27;1.42038094090768;4.36635622575324;0.263033507575497;19.4644795605867;2.36730156817947
52;2020-04-28;1.31516753787748;3.84028921060225;0.263033507575497;18.7542890901329;2.23578481439172
52;2020-04-29;1.10474073181709;3.41943559848145;0.210426806060397;17.991491918164;1.99905465757377
52;2020-04-30;1.02583067954444;3.5509523522692;0.289336858333046;17.5180316045281;1.86753790378603
52;2020-05-01;0.868010574999138;3.23531214317861;0.341943559848146;16.6237176787714;1.86753790378603
52;2020-05-02;0.868010574999138;3.26161549393616;0.315640209090596;16.8867511863469;1.81493120227093
52;2020-05-03;0.815403873484039;3.31422219545126;0.341943559848146;16.8604478355893;1.70971779924073
52;2020-05-04;0.999527328786887;3.10379538939086;0.368246910605695;17.0971779924073;1.65711109772563
52;2020-05-05;1.02583067954444;2.89336858333046;0.368246910605695;16.2554707681657;1.68341444848318
